,path,left,middle,right,class
0,Dset-1.0/training/Crossing/1_0_3928Image.jpeg,"[255.686881257693, -65.3569480929358, -83.34167479554723]","[-237.49217347146748, -1.9652825922866766, 14.620588283778046]","[-262.7817129126818, -76.1922631385024, -162.76489645879587]",Dset-1.0
1,Dset-1.0/training/Crossing/1_0_3342Image.jpeg,"[-96.28321245292663, -187.28275755361213, -48.684833645563785]","[191.64906073868218, -88.19526323747546, 29.72314315903909]","[-418.7224270693166, 115.1377551333704, -4.354699322046979]",Dset-1.0
2,Dset-1.0/training/Crossing/1_0_3143Image.jpeg,"[207.32014933919635, -90.27489207015354, -100.5702589136249]","[-235.10506217152167, -7.008129927474279, 16.671808633681508]","[-321.72574738614327, 46.016115261746464, -35.31760561453675]",Dset-1.0
3,Dset-1.0/training/Crossing/1_0_3521Image.jpeg,"[147.43495142965725, -135.93115402705524, -122.77769768499589]","[-235.13556920956057, -4.483599155857237, 17.78747640843371]","[-319.2204813793484, 64.20718260858553, 1.190824811454244]",Dset-1.0
4,Dset-1.0/training/Crossing/1_0_3937Image.jpeg,"[257.80127312668714, -62.912350181151766, -80.74919739241383]","[-239.90544005497898, -2.659427380133327, 15.426185048985332]","[-260.44971509010395, -76.79290079414972, -164.02585175410076]",Dset-1.0
5,Dset-1.0/training/Crossing/1_0_3623Image.jpeg,"[190.31811637395606, -116.24880088147651, -113.87586842695342]","[-239.15192496326722, -3.565771115110349, 15.975276855671074]","[-323.1733546651553, 58.81878862411738, 1.3840309556148527]",Dset-1.0
6,Dset-1.0/training/Crossing/1_0_3980Image.jpeg,"[255.51952791480588, -65.27658038509573, -82.9585417436472]","[-237.62655747487057, -2.117897138968483, 15.552606545095477]","[-260.25297064367277, -77.20778286648714, -163.7023984910056]",Dset-1.0
7,Dset-1.0/training/Crossing/1_0_3470Image.jpeg,"[433.1272336316233, 75.79017832845769, 21.361122179123708]","[-240.21025222493915, -4.799517408243681, 12.117208719658407]","[-307.9013643960083, 26.456597424445828, -77.82422559745315]",Dset-1.0
8,Dset-1.0/training/Crossing/1_0_3404Image.jpeg,"[189.90770004370762, -113.9533356409839, -114.6253927028141]","[-236.48192828351975, -2.554147890478494, 15.835601214960409]","[-252.22900636562898, -109.99110398124405, -168.65708250531978]",Dset-1.0
9,Dset-1.0/training/Crossing/1_0_3480Image.jpeg,"[378.0265755768241, 30.778701960251603, -14.507496086027734]","[-242.5028409872143, -3.458899736442619, 18.16057743996851]","[-275.328254865559, -38.95768464756186, -146.7507016485222]",Dset-1.0
10,Dset-1.0/training/Crossing/1_0_3331Image.jpeg,"[-28.38675121300288, -197.9147736901113, -99.19310723457403]","[154.05879631551164, -67.07603015513035, 33.98746950777835]","[-384.9026613276384, 113.45940633094789, -0.9230379113335532]",Dset-1.0
11,Dset-1.0/training/Crossing/1_0_3492Image.jpeg,"[215.26482793045022, -94.49035315727626, -102.10299171947008]","[-236.49164441386316, -3.1073365441306735, 15.923478321550425]","[-246.7178092762957, -107.17280618233822, -169.24648266598737]",Dset-1.0
12,Dset-1.0/training/Crossing/1_0_3819Image.jpeg,"[-30.3769221980979, -196.3225343697205, -101.60570817306342]","[157.96390688848436, -66.56710935609927, 25.771607999878626]","[-371.2777218598686, 111.5348265134309, -2.1364780861153125]",Dset-1.0
13,Dset-1.0/training/Crossing/1_0_3644Image.jpeg,"[190.96193960828313, -110.03185804324228, -110.98583179297889]","[-234.40449685828742, -4.782230006442472, 18.863568349655647]","[-295.7154072427599, -13.868496891933288, -109.4952017789625]",Dset-1.0
14,Dset-1.0/training/Crossing/1_0_3400Image.jpeg,"[192.46281593806208, -114.91042876247916, -112.80850751396675]","[-242.063891836648, -1.6216422749483983, 17.83460146316998]","[-250.73237318316424, -111.21169586667958, -165.51183523487418]",Dset-1.0
